#{"t_start": 1658767818.188372, "env_id": "CarRacing-v1"}
r,l,t
-22.807018,1000,7.265884
-13.978495,1000,14.420842
-19.708029,1000,23.458059
-36.231884,1000,30.719485
-22.807018,1000,39.419286
32.20339,1000,46.530847
-6.779661,1000,54.804323
-24.137931,1000,61.871395
-24.657534,1000,70.491431
-34.210526,1000,77.670727
-28.571429,1000,86.304579
15.254237,1000,93.704611
40.57508,1000,102.931339
-23.84106,1000,110.034028
-19.117647,1000,118.721773
-27.631579,1000,125.69768
-28.802589,1000,134.619919
-25.373134,1000,141.477868
-25.170068,1000,150.02568
-31.818182,1000,157.035551
-43.089431,1000,166.048125
-15.129151,1000,172.737287
-28.571429,1000,181.429047
-14.089347,1000,188.276634
-25.675676,1000,196.864751
17.870722,1000,203.79119
-24.914676,1000,212.237952
-23.84106,1000,219.337956
-18.088737,1000,227.899582
-16.34981,1000,234.705135
-27.672956,1000,243.537633
-11.764706,1000,250.135462
-32.907348,1000,258.833779
-13.533835,1000,265.539135
-34.718101,1000,274.921799
-21.985816,1000,281.752086
-63.50365,1000,290.397523
-16.184971,1000,297.697052
-17.857143,1000,306.266234
-24.137931,1000,312.710566
-16.363636,1000,321.169204
64.835165,1000,328.266744
-28.825623,1000,334.785873
-57.854406,1000,343.218963
-21.824104,1000,350.217892
1.973684,1000,358.894367
53.333333,1000,365.652242
-17.808219,1000,374.221686
-24.590164,1000,380.958809
-32.270916,1000,390.072486
-16.34981,1000,396.765932
33.136095,1000,405.636262
-36.877076,1000,412.499703
-19.298246,1000,420.946133
14.754098,1000,427.845913
-25.0,1000,436.26173
-12.878788,1000,442.752036
-59.558824,1000,451.187178
-29.530201,1000,458.22568
-21.146953,1000,466.687824
-43.521595,1000,473.835318
-21.708185,1000,482.231099
72.839506,1000,488.79751
-10.958904,1000,497.249399
-10.931174,1000,503.472114
-32.692308,1000,511.677986
70.568562,1000,518.150629
82.108626,1000,526.884463
-30.921053,1000,533.861102
-33.962264,1000,542.675202
-29.824561,1000,549.390763
-20.0,1000,558.061914
-32.432432,1000,564.740051
-45.833333,1000,573.145064
29.692833,1000,579.720237
-27.392739,1000,588.244772
12.328767,1000,595.437086
-33.544304,1000,604.244694
-30.930931,1000,611.357841
-11.439114,1000,620.165286
52.727273,1000,626.688844
-52.531646,1000,635.49991
-23.913043,1000,642.045248
-12.878788,1000,650.435567
0.334448,1000,657.229751
-23.566879,1000,664.269641
-25.925926,1000,673.385942
-55.223881,1000,681.095524
-22.807018,1000,689.440351
-22.297297,1000,696.000669
-17.562724,1000,704.244154
4.895105,1000,711.142799
-31.372549,1000,719.943355
187.066246,1000,726.479755
-31.034483,1000,734.968272
55.807365,1000,741.944147
-19.463087,1000,750.37018
-34.782609,1000,756.835372
-6.040268,1000,765.486999
-3.846154,1000,772.310479
14.503817,1000,780.632096
14.285714,1000,787.430075
9.929078,1000,796.02611
7.033639,1000,802.400912
202.583026,1000,810.718541
-68.652038,1000,817.551381
13.970588,1000,825.690289
-67.857143,1000,832.128753
-20.962199,1000,840.670026
45.27027,1000,847.813882
-28.338762,1000,856.242192
-18.088737,1000,862.861906
-18.518519,1000,870.756835
16.883117,1000,877.324825
-10.652921,1000,885.508124
-10.216718,1000,892.360601
57.480315,1000,900.257446
20.879121,1000,906.630049
24.113475,1000,914.788575
83.453237,1000,921.503479
44.444444,1000,929.90799
14.814815,1000,936.466139
-5.537459,1000,945.020538
24.113475,1000,951.882368
-25.373134,1000,960.671339
-11.764706,1000,967.16908
8.196721,1000,976.007158
24.567474,1000,982.60812
-13.72549,1000,988.640268
8.391608,1000,996.749225
-20.152091,1000,1002.767481
-2.621723,1000,1011.102239
12.627986,1000,1017.858476
119.047619,1000,1026.635378
-24.460432,1000,1032.669695
22.67658,1000,1040.664329
14.068441,1000,1047.383825
-23.076923,1000,1055.257928
53.284672,1000,1061.761352
89.655172,1000,1069.622482
34.020619,1000,1076.017232
52.249135,1000,1084.121428
-33.130699,1000,1090.438387
132.142857,1000,1098.749036
13.879004,1000,1105.611468
0.628931,1000,1113.939549
61.290323,1000,1120.120137
37.5,1000,1128.316998
-47.368421,1000,1134.563815
-0.332226,1000,1142.996671
80.505415,1000,1151.757147
-4.918033,1000,1160.40942
172.727273,1000,1166.77137
-12.621359,1000,1175.239844
2.739726,1000,1181.820156
-9.090909,1000,1190.087842
3.125,1000,1196.679176
-27.083333,1000,1204.67839
-21.428571,1000,1210.634429
-15.09434,1000,1219.520553
47.492625,1000,1226.25177
37.931034,1000,1235.060135
-40.340909,1000,1241.67308
-30.599369,1000,1250.14048
-17.525773,1000,1256.749236
9.215017,1000,1265.138361
-19.014085,1000,1271.317996
-25.465839,1000,1279.84897
182.051282,1000,1286.562176
61.073826,1000,1294.518805
-26.421405,1000,1301.073436
-6.432749,1000,1308.059528
-25.795053,1000,1316.690311
-24.137931,1000,1323.257274
-31.147541,1000,1331.386412
48.867314,1000,1337.528517
-34.375,1000,1346.026957
-36.170213,1000,1352.535193
-8.0,1000,1360.344908
-23.076923,1000,1366.987242
-21.052632,1000,1375.30882
-25.170068,1000,1381.876504
-26.056338,1000,1389.994014
-25.423729,1000,1396.343094
-43.977591,1000,1405.164708
-19.298246,1000,1411.505707
-19.860627,1000,1419.491161
-32.258065,1000,1425.917119
-39.68254,1000,1434.228584
-5.660377,1000,1440.416209
-18.604651,1000,1448.204648
-30.693069,1000,1454.598996
24.567474,1000,1462.736628
-30.693069,1000,1469.066548
-0.0,1000,1477.188778
-23.84106,1000,1483.95673
46.520147,1000,1492.217528
-25.233645,1000,1498.935115
-19.58042,1000,1507.011534
-30.599369,1000,1513.586277
-21.348315,1000,1521.575299
-35.483871,1000,1528.574667
-30.232558,1000,1537.342604
-8.730159,1000,1543.727703
-18.727915,1000,1551.880278
26.182965,1000,1558.533648
133.449477,1000,1566.835712
-21.933086,1000,1573.096771
-21.501706,1000,1581.342197
21.875,1000,1587.90763
50.34965,1000,1596.370308
-19.463087,1000,1602.955925
134.65704,1000,1612.50977
30.268199,1000,1618.714913
-42.95302,1000,1625.79624
20.622568,1000,1634.490699
-28.338762,1000,1641.030228
25.461255,1000,1649.12206
-24.698795,1000,1655.88076
-5.454545,1000,1664.334084
-33.333333,1000,1670.844184
-22.829582,1000,1679.450155
-4.59364,1000,1685.923217
-65.517241,1000,1694.177473
-23.58804,1000,1700.379469
2.040816,1000,1708.745137
-0.0,1000,1715.457069
4.938272,1000,1723.928189
-51.851852,1000,1730.433624
-53.571429,1000,1738.520246
16.788321,1000,1744.682144
64.794007,1000,1753.183643
41.37931,1000,1759.60449
-31.888545,1000,1768.455504
-16.363636,1000,1774.91936
54.929577,1000,1783.325003
-22.807018,1000,1790.00512
-11.564626,1000,1798.95539
25.423729,1000,1805.815307
58.940397,1000,1814.628268
-27.083333,1000,1821.304289
-32.885906,1000,1829.30218
-19.254658,1000,1835.838488
-28.571429,1000,1844.047619
-13.978495,1000,1850.791305
-10.828025,1000,1859.488936
