#{"t_start": 1658822712.01424, "env_id": "CarRacing-v1"}
r,l,t
-58.174905,1000,7.080178
-52.941176,1000,14.245945
-46.043165,1000,23.543633
-55.835962,1000,30.833645
-52.21843,1000,40.32918
-47.194719,1000,47.543206
-32.806324,1000,56.613697
-46.875,1000,64.144209
-37.106918,1000,73.655282
-31.034483,1000,81.16409
-11.764706,1000,90.797624
-12.727273,1000,98.194229
-28.327645,1000,107.474185
-26.056338,1000,114.928822
-23.076923,1000,124.745432
-22.178988,1000,133.322102
-33.098592,1000,143.189439
-33.554817,1000,150.780022
-21.311475,1000,160.106781
-68.944099,1000,167.470552
-25.531915,1000,176.65718
-26.910299,1000,183.78603
-14.383562,1000,193.013
-32.432432,1000,200.321058
-49.152542,1000,209.470637
-10.071942,1000,216.973984
-35.064935,1000,225.903562
-53.571429,1000,233.122105
-56.043956,1000,241.906916
-46.488294,1000,248.975003
-35.384615,1000,258.114754
-36.666667,1000,265.324535
-62.068966,1000,274.385229
23.552124,1000,281.785311
-56.228956,1000,290.904423
-19.58042,1000,298.225293
-89.51039,1000,307.461828
-51.890034,1000,315.0476
-8.163265,1000,327.99034
-13.793103,1000,335.593708
-18.215613,1000,344.529977
-52.898551,1000,351.522143
-8.0,1000,358.978644
-27.444795,1000,369.586461
-16.666667,1000,378.696537
-103.072414,480,385.216626
-65.408805,1000,393.49248
-119.438762,912,402.521688
-149.042384,955,409.282495
-83.510299,567,413.562402
22.605364,1000,423.186579
-67.63754,1000,430.861277
-54.703833,1000,440.365818
-52.755906,1000,447.626198
-92.382445,301,449.856305
-97.938462,365,454.333951
-137.114388,552,458.417856
-85.968153,211,460.148629
-51.048951,1000,469.332296
-50.166113,1000,476.347158
-51.456311,1000,483.850586
-51.219512,1000,492.722716
-79.93311,1000,499.557086
-16.058394,1000,508.671822
-82.758621,1000,516.20576
-65.034965,1000,526.066633
-3.114187,1000,533.07009
-69.78022,1000,542.554202
-79.93311,1000,549.970522
-70.004142,204,553.494636
-38.596491,1000,560.997849
-71.93741,188,562.330969
-19.871795,1000,571.754697
-57.142857,1000,578.64817
-28.79257,1000,587.837664
18.320611,1000,594.625653
-13.533835,1000,603.227503
-86.075081,509,606.717429
-40.972222,1000,613.558747
-36.666667,1000,622.637578
-81.764901,216,624.135752
-50.530035,1000,631.425475
-32.721713,1000,640.960807
-33.24375,310,643.270135
-58.188153,1000,650.25638
-93.831034,560,656.027513
-47.525926,217,657.597881
-78.756934,482,661.051537
-38.511327,1000,670.470328
-32.258065,1000,677.161226
-71.624138,200,678.64296
-64.110843,365,681.208622
-84.142751,177,682.457967
-77.124183,1000,691.411785
14.104918,237,693.081979
-20.754717,1000,701.531031
-71.211688,330,703.869643
-115.576471,745,710.455503
-63.766667,272,712.323919
7.526882,1000,721.365805
-84.955184,185,722.688807
-58.185816,363,725.246277
-64.361538,260,727.106976
-56.578014,276,729.006924
-67.654849,313,731.164841
-105.572862,540,736.642741
-75.003833,204,738.040856
-44.480669,338,740.272295
-65.397924,1000,747.277873
-69.076923,461,752.245069
-64.209091,334,754.483063
-79.658824,202,755.814738
-108.44891,802,761.722208
-100.087755,308,763.843817
-92.847853,635,771.958332
-75.888199,381,775.349435
-42.760943,1000,784.055222
-84.257093,328,788.174449
-99.63935,214,789.629441
-78.778947,348,792.035512
-71.966667,554,795.69432
0.946372,1000,804.319961
-26.315789,1000,812.357151
-50.308257,605,818.111165
32.290909,269,820.161337
-13.669065,1000,828.593779
-38.566553,1000,836.401272
-33.774834,1000,845.776646
-32.692308,1000,853.305395
-61.783439,1000,862.291863
-26.573427,1000,869.321313
-16.083916,1000,877.948871
-8.794788,1000,885.003169
-33.566434,1000,893.83695
-30.58125,674,898.825421
-78.244444,339,901.25779
-12.111073,610,907.14659
-74.058893,374,909.741618
7.843137,1000,916.989073
-65.598901,646,923.465068
48.387097,1000,930.667508
-75.631174,648,935.121208
-96.872549,656,941.701489
-87.817301,329,944.130314
-117.475676,919,951.341553
-65.516667,177,952.628015
-63.771429,353,957.051832
-88.679522,468,960.488626
-34.027778,1000,967.408476
-38.215038,323,971.863119
-72.108861,355,974.43872
-57.526936,216,975.901505
5.190909,540,979.734212
-2.863636,266,981.638647
-116.389873,513,985.251787
-89.7,198,988.646773
-0.383142,1000,995.710997
-36.026936,1000,1004.623733
-53.333333,1000,1011.874644
-64.401294,1000,1019.182993
-104.825,393,1025.098085
-55.835962,1000,1032.558871
-63.369963,1000,1042.231323
-62.837838,1000,1049.665056
-3.100775,1000,1060.344547
28.113879,1000,1068.528654
-64.285714,1000,1078.34919
-55.271565,1000,1086.163395
-36.908517,1000,1095.214674
-63.114754,1000,1102.025853
-42.942943,1000,1111.428468
-35.114504,1000,1118.279916
-75.945017,1000,1127.35713
-65.034965,1000,1134.554202
-35.714286,1000,1143.977543
-83.81877,1000,1151.334233
-0.793651,1000,1161.182978
-78.328173,1000,1168.498377
-74.358974,1000,1175.938395
-5.109489,1000,1184.541151
-80.645161,1000,1192.591109
-62.825279,1000,1202.640938
5.263158,1000,1210.374714
-46.127946,1000,1219.973923
-63.099631,1000,1227.092951
-82.758621,1000,1236.286568
-68.871595,1000,1244.119373
-75.757576,1000,1253.778471
-79.310345,1000,1261.756941
-75.694444,1000,1271.519926
-77.443609,1000,1279.243977
-81.617647,1000,1288.62175
-76.510067,1000,1296.707472
-79.508197,1000,1306.990832
-70.099668,1000,1314.626706
-80.392157,1000,1324.209502
-75.265018,1000,1331.437761
-83.974359,1000,1340.439308
-75.0,1000,1348.249022
-78.494624,1000,1357.808125
-75.438596,1000,1365.059769
-71.530249,1000,1374.185036
-75.945017,1000,1381.772042
-79.591837,1000,1390.867224
-59.459459,1000,1397.883558
-71.929825,1000,1406.908402
-68.051118,1000,1414.586512
-75.265018,1000,1423.415917
-36.170213,1000,1430.414284
-34.42623,1000,1439.702422
-42.372881,1000,1447.191079
-30.147059,1000,1455.740897
-82.870866,499,1459.162146
-37.931034,1000,1466.157127
-32.20339,1000,1475.4946
-37.062937,1000,1483.061011
-8.196721,1000,1492.216923
-44.262295,1000,1499.654171
-33.054393,1000,1508.774951
45.454545,1000,1515.702131
-124.917241,595,1521.723993
-70.271605,321,1523.981125
-42.857143,1000,1530.843083
-60.185816,383,1533.401285
-50.167347,319,1537.364819
-60.901186,361,1539.922539
-53.118792,304,1542.075879
-59.372727,322,1544.318014
-68.489189,294,1546.367458
-56.112853,1000,1555.971974
-61.404075,242,1557.847319
-62.229268,355,1560.554462
-14.728682,1000,1567.183512
-55.6,307,1571.158369
-53.829801,334,1573.484412
-59.86045,307,1575.551922
-54.357534,298,1577.545853
-69.446988,328,1579.802012
-23.076923,1000,1589.199477
-67.725407,232,1590.906987
-66.59375,331,1593.143701
-67.59322,321,1595.364368
-61.097297,389,1598.047559
-60.538835,286,1600.001135
-81.843854,351,1604.176357
-52.522255,1000,1611.276304
-52.538762,243,1612.940827
-68.75,1000,1622.101802
-82.3,324,1624.32084
-121.825926,960,1630.486569
-83.159459,238,1632.037978
-61.686207,342,1635.971298
